rowname,my_crossing_reference,source,easting,northing,utm_easting,utm_northing
83,2021090154,pscis_phase1.xlsm,598157.43,6006328.79,598157.43,6006328.79
84,14000488,pscis_phase1.xlsm,NA,NA,584581.0430518687,6003387.655868331
85,2021090155,pscis_phase1.xlsm,584043.6,6003654.76,584043.6,6003654.76
86,2021090156,pscis_phase1.xlsm,584889.52,6003492.18,584889.52,6003492.18
87,2021090157,pscis_phase1.xlsm,585701.72,6004479.91,585701.72,6004479.91
88,14000421,pscis_phase1.xlsm,NA,NA,587108.3963575434,6005345.603449662
89,2021090158,pscis_phase1.xlsm,587095.15,6005361.87,587095.15,6005361.87
90,2021090158,pscis_phase1.xlsm,587003.87,6005322.31,587003.87,6005322.31
91,2021090159,pscis_phase1.xlsm,587080.73,6005468.44,587080.73,6005468.44
92,2021090160,pscis_phase1.xlsm,587368.16,6005868.97,587368.16,6005868.97
93,2021090161,pscis_phase1.xlsm,587307.55,6005829.99,587307.55,6005829.99
94,14000494,pscis_phase1.xlsm,NA,NA,588957.3801006353,6007080.7107621385
95,14000481,pscis_phase1.xlsm,NA,NA,589783.6117632891,6007797.939011319
96,14000486,pscis_phase1.xlsm,NA,NA,590552.0546043613,6008295.402991941
97,14000487,pscis_phase1.xlsm,NA,NA,590984.9703681829,6008507.997677304
98,14000492,pscis_phase1.xlsm,NA,NA,591945.6886038458,6008758.033373706
99,14000507,pscis_phase1.xlsm,NA,NA,593237.3149640366,6009679.175959201
100,14001125,pscis_phase1.xlsm,NA,NA,598080.7795083384,6016791.02861509
101,14001161,pscis_phase1.xlsm,NA,NA,605511.0192097763,5992667.038672649
102,14000576,pscis_phase1.xlsm,NA,NA,602436.935053888,5984669.062210936
103,2021090250,pscis_phase1.xlsm,602775.8,5984983.39,602775.8,5984983.39
104,14000582,pscis_phase1.xlsm,601366.59,5986579.62,601366.59,5986579.62
105,14001163,pscis_phase1.xlsm,NA,NA,603639.9952189145,5988349.045981327
106,14001078,pscis_phase1.xlsm,NA,NA,605308.0255277997,5987253.961214126
107,14001080,pscis_phase1.xlsm,605496.7,5986869.84,605496.7,5986869.84
108,14001077,pscis_phase1.xlsm,NA,NA,605388.9658062273,5986594.898587152
109,14000865,pscis_phase1.xlsm,606426.18,5986782,606426.18,5986782
110,14000535,pscis_phase1.xlsm,NA,NA,599263.6934572922,5984698.513520493
111,14000450,pscis_phase1.xlsm,NA,NA,599516.3039703718,5985581.747825353
112,2021090251,pscis_phase1.xlsm,599738.19,5986408.53,599738.19,5986408.53
113,14001052,pscis_phase1.xlsm,NA,NA,604443.0758096415,5995222.023776089
114,14000777,pscis_phase1.xlsm,NA,NA,605156.995533666,5994783.024590061
115,14000779,pscis_phase1.xlsm,NA,NA,605675.0202051768,5993744.061782845
116,14000565,pscis_phase1.xlsm,NA,NA,608574.3276693884,6022388.513048773
117,14000562,pscis_phase1.xlsm,NA,NA,608138.0888582047,6020911.1990954485
118,2021090350,pscis_phase1.xlsm,607585,6016381,607585,6016381
119,14000685,pscis_phase1.xlsm,NA,NA,607508.9888227305,6013246.582387267
120,14000669,pscis_phase1.xlsm,NA,NA,607690.1815659578,6012188.729475635
121,14000688,pscis_phase1.xlsm,NA,NA,614148.1579996378,6008425.050421638
122,14000546,pscis_phase1.xlsm,NA,NA,614944.7169682245,6010128.715199228
123,14001769,pscis_phase1.xlsm,NA,NA,614711.4751321969,6009970.731630757
124,14001103,pscis_phase1.xlsm,NA,NA,614567.8062924718,6008395.594682172
125,14001175,pscis_phase1.xlsm,NA,NA,620580.1974397276,6010857.326428524
126,14000677,pscis_phase1.xlsm,NA,NA,619787.8864335084,6008368.730519931
127,14000697,pscis_phase1.xlsm,NA,NA,620771.2772519367,6007645.380606393
128,14000692,pscis_phase1.xlsm,NA,NA,625143.8404426102,6007956.014619901
129,14000683,pscis_phase1.xlsm,NA,NA,627065.034606704,6008379.6978764655
130,2021090351,pscis_phase1.xlsm,628700,6009766,628700,6009766
131,2021090351,pscis_phase1.xlsm,673235,6043218,673235,6043218
132,1801166,pscis_phase1.xlsm,NA,NA,675438.9458671,6044630.076258472
133,1801165,pscis_phase1.xlsm,NA,NA,675402.0071934143,6044908.996982543
134,14000395,pscis_phase1.xlsm,NA,NA,605863.8035081355,6023574.464550077
135,14000994,pscis_phase1.xlsm,NA,NA,603814.9822598379,6009561.958006723
136,14000398,pscis_phase1.xlsm,NA,NA,605436.996256651,6021867.266541624
137,14000377,pscis_phase1.xlsm,NA,NA,606924.0675383639,6020704.011259596
138,14000375,pscis_phase1.xlsm,NA,NA,605796.5548581135,6016996.689309631
139,14000382,pscis_phase1.xlsm,NA,NA,604924.0101859403,6014325.4610070195
140,14000379,pscis_phase1.xlsm,NA,NA,604834.9132222176,6012765.883154332
141,14000882,pscis_phase1.xlsm,NA,NA,607215.9388372838,5997193.99980501
142,1802760,pscis_phase1.xlsm,NA,NA,640551.1867759372,6053250.47373403
143,1805553,pscis_phase1.xlsm,NA,NA,611695.8397085706,6082109.101618306
144,2021091450,pscis_phase1.xlsm,NA,NA,NA,NA
145,1805573,pscis_phase1.xlsm,NA,NA,610392.9408576573,6084972.559669324
146,1805549,pscis_phase1.xlsm,NA,NA,611345.1283811429,6083669.28661139
147,2021091650,pscis_phase1.xlsm,589659,6123249,589659,6123249
148,1801773,pscis_phase1.xlsm,NA,NA,603432.0671866513,6107843.983496083
149,1800048,pscis_phase1.xlsm,NA,NA,674397.1360563415,6043432.53148384
150,1800193,pscis_phase1.xlsm,NA,NA,674875.4185071159,6043782.035530129
151,14000394,pscis_phase1.xlsm,NA,NA,604924.2430702205,6012911.851874621
152,14001409,pscis_phase1.xlsm,NA,NA,604621.5744411864,6012795.89564589
153,14001468,pscis_phase1.xlsm,NA,NA,604616.435088191,6010547.369888849
154,14000399,pscis_phase1.xlsm,NA,NA,604825.9755676519,6022653.013726614
155,14001432,pscis_phase1.xlsm,NA,NA,604342.4545537798,6022071.604026421
156,14000381,pscis_phase1.xlsm,NA,NA,606100.2110587176,6017300.741768416
157,14000389,pscis_phase1.xlsm,NA,NA,604962.0932698336,6015050.243011166
158,14000383,pscis_phase1.xlsm,NA,NA,605307.1248272253,6023040.3860594155
159,14000390,pscis_phase1.xlsm,NA,NA,605778.6379347731,6021673.311807403
160,14000392,pscis_phase1.xlsm,NA,NA,605753.5540327409,6023617.865156973
161,14000718,pscis_phase1.xlsm,643962,6001978,643962,6001978
162,14000013,pscis_phase1.xlsm,NA,NA,637564.0546683812,6007909.046294932
163,14000991,pscis_phase1.xlsm,NA,NA,623922.9920832458,6005103.9063589135
164,14000764,pscis_phase1.xlsm,NA,NA,609752.9600012817,5992972.006273366
165,1014001094,pscis_phase1.xlsm,NA,NA,NA,NA
166,1800191,pscis_phase1.xlsm,NA,NA,680196.9786002635,6041646.860347225
167,1802488,pscis_phase1.xlsm,NA,NA,640243.9147929499,6048061.004104231
168,14000804,pscis_phase1.xlsm,NA,NA,620202.0236991391,5998472.022268653
169,14000815,pscis_phase1.xlsm,NA,NA,619988.9683861751,5998258.961210776
170,14000820,pscis_phase1.xlsm,NA,NA,617036.9772023249,5997094.98725254
171,14000217,pscis_phase1.xlsm,NA,NA,617051.018104149,5997021.00922937
172,14000256,pscis_phase1.xlsm,NA,NA,616234.0762857363,5998375.99951454
173,14000022,pscis_phase1.xlsm,NA,NA,616801.0140273079,5998662.020302954
174,14000322,pscis_phase1.xlsm,NA,NA,616899.2004078592,5998674.391551167
175,14000196,pscis_phase1.xlsm,NA,NA,617725.9925986887,5998773.986522987
176,14001624,pscis_phase1.xlsm,NA,NA,618396.1942573092,5996675.300710505
177,14001731,pscis_phase1.xlsm,NA,NA,620063.9207297813,5995862.980607816
178,24740003,pscis_phase1.xlsm,NA,NA,622870.1858984833,5988875.352787508
179,14000897,pscis_phase1.xlsm,NA,NA,622107.9631645323,5990679.847761168
180,24000892,pscis_phase1.xlsm,NA,NA,NA,NA
181,14000890,pscis_phase1.xlsm,NA,NA,620641.408531673,5990771.464533854
182,14000894,pscis_phase1.xlsm,NA,NA,620681.5084907733,5990582.934077949
183,14000592,pscis_phase1.xlsm,NA,NA,620084.6031788565,5994112.008854205
184,14000593,pscis_phase1.xlsm,NA,NA,621806.9735718353,5996214.951792675
185,14001062,pscis_phase1.xlsm,NA,NA,622408.0033690274,5997287.042263287
186,14001094,pscis_phase1.xlsm,NA,NA,623368.9937288257,6000282.979878828
187,14000967,pscis_phase1.xlsm,NA,NA,624444.2752196206,6002415.525966117
188,14000968,pscis_phase1.xlsm,NA,NA,623985.9986378787,6001190.996794354
189,14001222,pscis_phase1.xlsm,NA,NA,617661.2297606493,5990287.34889713
190,14001029,pscis_phase1.xlsm,NA,NA,626238.5609667988,6005131.160786909
191,14001112,pscis_phase1.xlsm,NA,NA,627288.5638630701,6003664.62060755
192,14001170,pscis_phase1.xlsm,NA,NA,627520.8392734125,6004422.941377375
193,14000799,pscis_phase1.xlsm,NA,NA,623421.9977961236,6001387.997865908
194,14000823,pscis_phase1.xlsm,NA,NA,623571.012187222,6001711.028489435
